iter	Passed	Remaining
0	33	33236
1	50	25127
2	67	22337
3	84	21156
4	102	20302
5	119	19828
6	138	19638
7	154	19172
8	169	18681
9	185	18342
10	202	18165
11	218	18017
12	234	17828
13	251	17716
14	267	17561
15	282	17396
16	300	17351
17	315	17236
18	331	17134
19	347	17044
20	364	16995
21	380	16931
22	399	16966
23	415	16899
24	432	16880
25	449	16856
26	465	16785
27	482	16764
28	499	16711
29	516	16690
30	531	16622
31	548	16595
32	565	16577
33	581	16527
34	597	16471
35	614	16443
36	631	16424
37	647	16392
38	664	16370
39	680	16324
40	697	16305
41	713	16274
42	731	16269
43	747	16232
44	763	16194
45	779	16169
46	797	16162
47	815	16171
48	839	16298
49	859	16331
50	877	16326
51	895	16327
52	913	16318
53	931	16317
54	949	16320
55	967	16314
56	985	16297
57	1003	16294
58	1021	16286
59	1039	16283
60	1059	16316
61	1077	16306
62	1097	16318
63	1118	16355
64	1140	16405
65	1161	16439
66	1181	16456
67	1201	16472
68	1219	16459
69	1237	16437
70	1254	16418
71	1270	16380
72	1286	16341
73	1303	16306
74	1319	16267
75	1335	16234
76	1352	16215
77	1368	16176
78	1386	16165
79	1405	16166
80	1424	16163
81	1443	16156
82	1461	16151
83	1480	16146
84	1497	16120
85	1520	16163
86	1541	16182
87	1561	16181
88	1578	16160
89	1596	16146
90	1613	16120
91	1631	16099
92	1648	16077
93	1667	16069
94	1685	16057
95	1702	16035
96	1719	16007
97	1735	15976
98	1752	15949
99	1768	15912
100	1783	15873
101	1799	15842
102	1816	15816
103	1833	15796
104	1852	15787
105	1868	15762
106	1887	15751
107	1905	15736
108	1924	15729
109	1943	15723
110	1961	15706
111	1978	15683
112	1994	15658
113	2013	15649
114	2033	15649
115	2057	15675
116	2078	15683
117	2100	15697
118	2120	15696
119	2135	15662
120	2153	15643
121	2168	15609
122	2184	15574
123	2200	15545
124	2218	15527
125	2233	15494
126	2249	15461
127	2265	15436
128	2282	15410
129	2300	15394
130	2318	15377
131	2335	15355
132	2355	15354
133	2373	15337
134	2391	15321
135	2411	15318
136	2429	15306
137	2448	15297
138	2465	15271
139	2480	15235
140	2497	15212
141	2512	15184
142	2528	15155
143	2544	15127
144	2562	15109
145	2581	15098
146	2598	15077
147	2616	15064
148	2634	15044
149	2652	15030
150	2669	15011
151	2687	14994
152	2705	14977
153	2721	14952
154	2740	14942
155	2757	14916
156	2772	14888
157	2788	14862
158	2805	14838
159	2820	14807
160	2836	14782
161	2853	14758
162	2869	14733
163	2886	14714
164	2904	14699
165	2922	14681
166	2938	14659
167	2956	14639
168	2972	14618
169	2991	14605
170	3010	14594
171	3029	14585
172	3046	14563
173	3063	14541
174	3077	14509
175	3094	14486
176	3109	14459
177	3126	14436
178	3143	14415
179	3158	14390
180	3176	14373
181	3192	14347
182	3206	14315
183	3220	14283
184	3236	14259
185	3252	14234
186	3269	14215
187	3286	14193
188	3304	14180
189	3321	14159
190	3339	14142
191	3356	14123
192	3371	14099
193	3390	14085
194	3407	14067
195	3425	14052
196	3442	14032
197	3458	14009
198	3496	14074
199	3515	14061
200	3532	14041
201	3547	14015
202	3564	13996
203	3581	13974
204	3597	13950
205	3611	13918
206	3627	13895
207	3643	13873
208	3660	13852
209	3674	13824
210	3691	13803
211	3707	13782
212	3724	13762
213	3741	13741
214	3759	13725
215	3775	13704
216	3795	13695
217	3814	13682
218	3831	13663
219	3847	13642
220	3865	13624
221	3883	13610
222	3902	13596
223	3920	13582
224	3939	13570
225	3955	13548
226	3973	13530
227	3990	13511
228	4007	13491
229	4023	13469
230	4038	13445
231	4054	13422
232	4070	13400
233	4086	13377
234	4103	13356
235	4121	13341
236	4136	13316
237	4152	13295
238	4169	13276
239	4186	13257
240	4202	13235
241	4217	13210
242	4233	13187
243	4249	13166
244	4266	13147
245	4283	13130
246	4300	13111
247	4320	13100
248	4337	13080
249	4354	13062
250	4371	13044
251	4391	13034
252	4408	13016
253	4425	12996
254	4442	12977
255	4459	12959
256	4478	12947
257	4496	12931
258	4515	12917
259	4533	12902
260	4550	12883
261	4566	12862
262	4582	12841
263	4599	12822
264	4615	12801
265	4631	12780
266	4648	12761
267	4664	12741
268	4681	12720
269	4696	12697
270	4710	12672
271	4727	12652
272	4743	12631
273	4759	12610
274	4775	12589
275	4792	12572
276	4808	12550
277	4823	12526
278	4840	12508
279	4857	12490
280	4873	12471
281	4889	12448
282	4904	12425
283	4921	12406
284	4937	12387
285	4953	12366
286	4970	12348
287	4985	12325
288	5000	12302
289	5016	12282
290	5033	12262
291	5051	12248
292	5070	12235
293	5090	12223
294	5107	12207
295	5126	12192
296	5144	12176
297	5161	12158
298	5180	12144
299	5196	12124
300	5212	12105
301	5229	12086
302	5246	12068
303	5263	12049
304	5280	12033
305	5297	12013
306	5314	11997
307	5331	11978
308	5347	11959
309	5363	11937
310	5378	11916
311	5396	11899
312	5411	11877
313	5427	11857
314	5442	11835
315	5458	11815
316	5474	11794
317	5490	11775
318	5505	11752
319	5520	11731
320	5536	11710
321	5552	11690
322	5567	11669
323	5583	11650
324	5602	11635
325	5618	11616
326	5633	11594
327	5649	11574
328	5665	11554
329	5680	11533
330	5698	11516
331	5714	11498
332	5730	11478
333	5746	11459
334	5762	11438
335	5780	11422
336	5797	11405
337	5815	11390
338	5834	11376
339	5852	11359
340	5870	11344
341	5889	11331
342	5907	11315
343	5924	11298
344	5940	11278
345	5957	11260
346	5975	11245
347	5992	11227
348	6010	11211
349	6027	11194
350	6044	11177
351	6063	11163
352	6082	11148
353	6101	11134
354	6119	11118
355	6137	11102
356	6153	11083
357	6171	11067
358	6186	11046
359	6204	11029
360	6220	11010
361	6238	10994
362	6255	10976
363	6271	10958
364	6288	10940
365	6305	10922
366	6321	10902
367	6338	10885
368	6355	10867
369	6372	10850
370	6391	10835
371	6409	10820
372	6428	10806
373	6447	10792
374	6466	10777
375	6484	10761
376	6501	10743
377	6516	10723
378	6533	10705
379	6550	10687
380	6567	10670
381	6582	10649
382	6599	10631
383	6617	10615
384	6636	10600
385	6652	10581
386	6667	10561
387	6683	10541
388	6697	10520
389	6714	10502
390	6730	10482
391	6746	10464
392	6766	10451
393	6785	10436
394	6802	10419
395	6821	10404
396	6841	10391
397	6860	10376
398	6879	10363
399	6898	10347
400	6913	10327
401	6929	10308
402	6945	10289
403	6962	10272
404	6980	10255
405	6996	10236
406	7012	10217
407	7029	10199
408	7046	10181
409	7062	10162
410	7079	10145
411	7095	10126
412	7111	10108
413	7128	10090
414	7146	10073
415	7164	10057
416	7180	10038
417	7196	10020
418	7212	10000
419	7227	9980
420	7244	9963
421	7263	9949
422	7284	9937
423	7305	9925
424	7326	9911
425	7344	9896
426	7362	9880
427	7380	9864
428	7401	9851
429	7419	9834
430	7435	9815
431	7449	9795
432	7465	9776
433	7480	9755
434	7498	9738
435	7514	9720
436	7531	9703
437	7549	9686
438	7567	9669
439	7584	9652
440	7605	9640
441	7628	9630
442	7654	9624
443	7672	9607
444	7688	9589
445	7705	9570
446	7721	9553
447	7737	9534
448	7755	9517
449	7773	9501
450	7791	9484
451	7809	9468
452	7828	9453
453	7847	9437
454	7864	9420
455	7882	9403
456	7901	9388
457	7918	9371
458	7935	9353
459	7954	9337
460	7969	9318
461	7985	9299
462	8001	9280
463	8017	9261
464	8035	9245
465	8052	9227
466	8068	9208
467	8087	9193
468	8105	9176
469	8122	9159
470	8140	9142
471	8158	9126
472	8175	9108
473	8195	9094
474	8213	9077
475	8229	9059
476	8245	9040
477	8261	9021
478	8278	9004
479	8294	8986
480	8310	8966
481	8326	8948
482	8343	8930
483	8357	8910
484	8374	8892
485	8389	8873
486	8407	8856
487	8424	8839
488	8444	8824
489	8464	8810
490	8483	8794
491	8501	8778
492	8518	8760
493	8535	8742
494	8555	8728
495	8572	8710
496	8590	8694
497	8605	8674
498	8621	8656
499	8636	8636
500	8652	8618
501	8669	8600
502	8684	8581
503	8701	8563
504	8716	8544
505	8732	8525
506	8747	8505
507	8762	8486
508	8778	8468
509	8794	8449
510	8810	8431
511	8827	8413
512	8845	8397
513	8863	8380
514	8881	8363
515	8898	8346
516	8917	8330
517	8936	8315
518	8956	8300
519	8976	8285
520	8993	8268
521	9009	8250
522	9025	8231
523	9043	8215
524	9060	8197
525	9080	8182
526	9096	8164
527	9111	8145
528	9127	8126
529	9143	8108
530	9159	8090
531	9176	8072
532	9192	8053
533	9209	8036
534	9225	8018
535	9239	7998
536	9257	7981
537	9274	7963
538	9290	7946
539	9305	7927
540	9322	7909
541	9339	7892
542	9356	7875
543	9373	7857
544	9391	7840
545	9409	7823
546	9428	7808
547	9447	7792
548	9465	7775
549	9482	7758
550	9498	7740
551	9515	7722
552	9530	7703
553	9546	7685
554	9560	7665
555	9575	7646
556	9591	7628
557	9607	7609
558	9623	7592
559	9640	7574
560	9657	7556
561	9672	7538
562	9688	7520
563	9705	7503
564	9721	7484
565	9737	7466
566	9754	7449
567	9769	7430
568	9786	7412
569	9802	7395
570	9819	7377
571	9834	7358
572	9850	7340
573	9865	7322
574	9881	7303
575	9900	7287
576	9919	7271
577	9937	7255
578	9955	7238
579	9974	7222
580	9993	7206
581	10011	7190
582	10029	7173
583	10046	7156
584	10065	7140
585	10082	7122
586	10097	7104
587	10113	7086
588	10131	7069
589	10147	7051
590	10165	7034
591	10182	7017
592	10199	7000
593	10218	6984
594	10236	6967
595	10253	6950
596	10271	6933
597	10288	6916
598	10306	6899
599	10325	6883
600	10341	6865
601	10358	6848
602	10375	6830
603	10391	6812
604	10407	6794
605	10423	6777
606	10439	6759
607	10454	6740
608	10471	6723
